step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
11500,1439.3,94208000,0.00135258,1.4408,1.5872,0.3013
11550,1445.6,94617600,0.00134214,1.5408,1.5846,0.3639
11600,1451.9,95027200,0.00133173,1.5695,1.5824,0.3164
11650,1458.2,95436800,0.00132133,1.5296,1.5877,0.3006
11700,1464.5,95846400,0.00131095,1.5076,1.5852,0.2922
11750,1470.7,96256000,0.00130059,1.5273,1.5885,0.3301
11800,1477.0,96665600,0.00129026,1.5293,1.5801,0.3235
11850,1483.3,97075200,0.00127995,1.5945,1.5747,0.3194
11900,1489.5,97484800,0.00126966,1.5218,1.5740,0.3120
11950,1495.8,97894400,0.00125940,1.6251,1.5712,0.3298
12000,1502.0,98304000,0.00124916,1.6483,1.5708,0.3204
12050,1508.4,98713600,0.00123894,1.6186,1.5760,0.3494
12100,1514.7,99123200,0.00122875,1.5340,1.5738,0.3222
12150,1521.0,99532800,0.00121859,1.4885,1.5667,0.2990
12200,1527.3,99942400,0.00120846,1.5201,1.5707,0.3429
12250,1533.7,100352000,0.00119835,1.5473,1.5708,0.3162
12300,1539.9,100761600,0.00118827,1.6116,1.5686,0.3406
12350,1546.2,101171200,0.00117822,1.5802,1.5670,0.3324
12400,1552.5,101580800,0.00116820,1.5843,1.5700,0.3247
12450,1558.7,101990400,0.00115821,1.5969,1.5680,0.3287
12500,1565.0,102400000,0.00114826,1.5247,1.5650,0.3141
12550,1571.2,102809600,0.00113833,1.5551,1.5651,0.3388
12600,1577.5,103219200,0.00112843,1.5638,1.5594,0.3284
12650,1583.7,103628800,0.00111857,1.4407,1.5558,0.3327
12700,1590.1,104038400,0.00110874,1.5484,1.5555,0.3209
12750,1596.4,104448000,0.00109895,1.5839,1.5529,0.3230
12800,1602.8,104857600,0.00108919,1.5429,1.5544,0.3398
12850,1609.1,105267200,0.00107947,1.6119,1.5544,0.3351
12900,1615.4,105676800,0.00106978,1.5770,1.5504,0.3371
12950,1621.7,106086400,0.00106012,1.5635,1.5561,0.3445
13000,1628.0,106496000,0.00105051,1.5670,1.5503,0.3403
13050,1634.3,106905600,0.00104093,1.4971,1.5481,0.3405
13100,1640.6,107315200,0.00103139,1.5806,1.5521,0.3231
13150,1646.9,107724800,0.00102189,1.3872,1.5439,0.3202
13200,1653.2,108134400,0.00101243,1.5466,1.5452,0.3467
13250,1659.5,108544000,0.00100301,1.5954,1.5438,0.3467
13300,1665.7,108953600,0.00099363,1.4409,1.5451,0.3385
13350,1672.0,109363200,0.00098430,1.5553,1.5383,0.3318
13400,1678.2,109772800,0.00097500,1.5163,1.5382,0.3426
13450,1684.4,110182400,0.00096575,1.6030,1.5396,0.3471
13500,1690.7,110592000,0.00095654,1.4862,1.5383,0.3273
13550,1696.9,111001600,0.00094737,1.4857,1.5351,0.3475
13600,1703.1,111411200,0.00093825,1.5996,1.5343,0.3419
13650,1709.4,111820800,0.00092917,1.5414,1.5350,0.3342
13700,1715.6,112230400,0.00092013,1.4812,1.5352,0.3442
13750,1721.8,112640000,0.00091115,1.4644,1.5281,0.3225
13800,1728.1,113049600,0.00090221,1.4996,1.5276,0.3292
13850,1734.3,113459200,0.00089331,1.4389,1.5256,0.3290
13900,1740.6,113868800,0.00088447,1.5288,1.5251,0.3433
13950,1746.8,114278400,0.00087567,1.4973,1.5245,0.3566
14000,1753.1,114688000,0.00086692,1.4786,1.5208,0.3336
14050,1759.5,115097600,0.00085822,1.5246,1.5203,0.3512
14100,1765.8,115507200,0.00084957,1.3644,1.5182,0.3451
14150,1772.0,115916800,0.00084098,1.4275,1.5177,0.3266
14200,1778.2,116326400,0.00083243,1.5402,1.5191,0.3558
14250,1784.5,116736000,0.00082393,1.4885,1.5197,0.3397
14300,1790.7,117145600,0.00081549,1.4420,1.5198,0.3507
14350,1797.0,117555200,0.00080709,1.5344,1.5152,0.3558
14400,1803.2,117964800,0.00079875,1.5206,1.5146,0.3420
14450,1809.5,118374400,0.00079047,1.5148,1.5110,0.3527
14500,1815.7,118784000,0.00078224,1.4214,1.5107,0.3532
14550,1822.1,119193600,0.00077406,1.5618,1.5098,0.3678
14600,1828.4,119603200,0.00076594,1.4880,1.5100,0.3451
14650,1834.6,120012800,0.00075787,1.5938,1.5058,0.3539
14700,1840.8,120422400,0.00074986,1.5196,1.5047,0.3633
14750,1847.1,120832000,0.00074191,1.5167,1.5025,0.3542
14800,1853.3,121241600,0.00073401,1.4522,1.5014,0.3427
14850,1859.6,121651200,0.00072617,1.4290,1.4962,0.3608
14900,1865.8,122060800,0.00071839,1.5146,1.4980,0.3338
14950,1872.0,122470400,0.00071067,1.3669,1.4975,0.3461
15000,1878.2,122880000,0.00070301,1.5473,1.4935,0.3596
15050,1884.5,123289600,0.00069541,1.4813,1.4946,0.3683
15100,1890.7,123699200,0.00068786,1.4598,1.4905,0.3670
15150,1896.9,124108800,0.00068038,1.5021,1.4915,0.3587
15200,1903.2,124518400,0.00067296,1.4907,1.4916,0.3417
15250,1909.4,124928000,0.00066560,1.4755,1.4962,0.3452
15300,1915.6,125337600,0.00065830,1.5715,1.4892,0.3716
15350,1921.9,125747200,0.00065107,1.4702,1.4903,0.3527
15400,1928.1,126156800,0.00064389,1.4127,1.4878,0.3544
15450,1934.3,126566400,0.00063678,1.3524,1.4860,0.3453
15500,1940.5,126976000,0.00062974,1.5675,1.4857,0.3735
15550,1946.8,127385600,0.00062276,1.4610,1.4824,0.3604
15600,1953.0,127795200,0.00061584,1.5243,1.4817,0.3711
15650,1959.2,128204800,0.00060899,1.5199,1.4819,0.3749
15700,1965.5,128614400,0.00060220,1.3637,1.4806,0.3499
15750,1971.8,129024000,0.00059548,1.4626,1.4808,0.3630
